# MEMORY_TILE_MODULE / LOCKS/MISC
# 4 register(s)
#
# Format: NAME @ OFFSET [WIDTH TYPE reset=VALUE] "DESCRIPTION"
#   BITS    FIELD_NAME                   TYPE  "DESCRIPTION"

Locks_Overflow_0 @ 0x00000C0420 [32 wtc] "Status bits for lock overflow, write to clear"
  0       Lock_Underflow_0             wtc  "Status bit for lock underflow"

Locks_Underflow_1 @ 0x00000C042C [32 wtc] "Status bits for lock underflow, write to clear"
  31      Lock_Underflow_63            wtc  "Status bit for lock underflow"
  30      Lock_Underflow_62            wtc  "Status bit for lock underflow"
  29      Lock_Underflow_61            wtc  "Status bit for lock underflow"
  28      Lock_Underflow_60            wtc  "Status bit for lock underflow"
  27      Lock_Underflow_59            wtc  "Status bit for lock underflow"
  26      Lock_Underflow_58            wtc  "Status bit for lock underflow"
  25      Lock_Underflow_57            wtc  "Status bit for lock underflow"
  24      Lock_Underflow_56            wtc  "Status bit for lock underflow"
  23      Lock_Underflow_55            wtc  "Status bit for lock underflow"
  22      Lock_Underflow_54            wtc  "Status bit for lock underflow"
  21      Lock_Underflow_53            wtc  "Status bit for lock underflow"
  20      Lock_Underflow_52            wtc  "Status bit for lock underflow"
  19      Lock_Underflow_51            wtc  "Status bit for lock underflow"
  18      Lock_Underflow_50            wtc  "Status bit for lock underflow"
  17      Lock_Underflow_49            wtc  "Status bit for lock underflow"
  16      Lock_Underflow_48            wtc  "Status bit for lock underflow"
  15      Lock_Underflow_47            wtc  "Status bit for lock underflow"
  14      Lock_Underflow_46            wtc  "Status bit for lock underflow"
  13      Lock_Underflow_45            wtc  "Status bit for lock underflow"
  12      Lock_Underflow_44            wtc  "Status bit for lock underflow"
  11      Lock_Underflow_43            wtc  "Status bit for lock underflow"
  10      Lock_Underflow_42            wtc  "Status bit for lock underflow"
  9       Lock_Underflow_41            wtc  "Status bit for lock underflow"
  8       Lock_Underflow_40            wtc  "Status bit for lock underflow"
  7       Lock_Underflow_39            wtc  "Status bit for lock underflow"
  6       Lock_Underflow_38            wtc  "Status bit for lock underflow"
  5       Lock_Underflow_37            wtc  "Status bit for lock underflow"
  4       Lock_Underflow_36            wtc  "Status bit for lock underflow"
  3       Lock_Underflow_35            wtc  "Status bit for lock underflow"
  2       Lock_Underflow_34            wtc  "Status bit for lock underflow"
  1       Lock_Underflow_33            wtc  "Status bit for lock underflow"
  0       Lock_Underflow_32            wtc  "Status bit for lock underflow"
