# MEMORY_TILE_MODULE / EVENT/MISC
# 10 register(s)
#
# Format: NAME @ OFFSET [WIDTH TYPE reset=VALUE] "DESCRIPTION"
#   BITS    FIELD_NAME                   TYPE  "DESCRIPTION"

Event_Generate @ 0x0000094008 [32 wo] "Generate an internal event"
  7:0     Event                        wo  "Which internal Event No to generate"

Event_Group_0_Enable @ 0x0000094500 [32 rw reset=0x00000FFF] "Event enable for Group 0"
  11      Edge_Detection_Event_1       rw  "1=Event contributes to group event"
  10      Edge_Detection_Event_0       rw  "1=Event contributes to group event"
  9       Combo_Event_3                rw  "1=Event contributes to group event"
  8       Combo_Event_2                rw  "1=Event contributes to group event"
  7       Combo_Event_1                rw  "1=Event contributes to group event"
  6       Combo_Event_0                rw  "1=Event contributes to group event"
  5       Perf_Cnt3_Event              rw  "1=Event contributes to group event"
  4       Perf_Cnt2_Event              rw  "1=Event contributes to group event"
  3       Perf_Cnt1_Event              rw  "1=Event contributes to group event"
  2       Perf_Cnt0_Event              rw  "1=Event contributes to group event"
  1       Timer_Value_Reached          rw  "1=Event contributes to group event"
  0       Timer_Sync                   rw  "1=Event contributes to group event"

Event_Group_Watchpoint_Enable @ 0x0000094504 [32 rw reset=0x0000000F] "Event enable for Watchpoint Group"
  3       Watchpoint_3                 rw  "1=Event contributes to group event"
  2       Watchpoint_2                 rw  "1=Event contributes to group event"
  1       Watchpoint_1                 rw  "1=Event contributes to group event"
  0       Watchpoint_0                 rw  "1=Event contributes to group event"

Event_Group_DMA_Enable @ 0x0000094508 [32 rw reset=0x00FFFFFF] "Event enable for DMA Group"
  23      DMA_MM2S_Sel1_memory_starvation rw  "1=Event contributes to group event"
  22      DMA_MM2S_Sel0_memory_starvation rw  "1=Event contributes to group event"
  21      DMA_S2MM_Sel1_memory_backpressure rw  "1=Event contributes to group event"
  20      DMA_S2MM_Sel0_memory_backpressure rw  "1=Event contributes to group event"
  19      DMA_MM2S_Sel1_stream_backpressure rw  "1=Event contributes to group event"
